field_name	allowed_value	definition	coding_notes
triage_status	candidate_found	Controlled value `candidate_found` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	candidate_rejected	Controlled value `candidate_rejected` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	staged_for_parser	Controlled value `staged_for_parser` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	promoted_to_result_target	Controlled value `promoted_to_result_target` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	blocked_access	Controlled value `blocked_access` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	blocked_no_result_fields	Controlled value `blocked_no_result_fields` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	blocked_scope_mismatch	Controlled value `blocked_scope_mismatch` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	deprecated_duplicate	Controlled value `deprecated_duplicate` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
transformation_confidence	high	Evidence is direct, specific, and low ambiguity.	Use when source text/metadata clearly supports the coded value or relationship.
transformation_confidence	medium	Evidence is plausible but has unresolved details or relies on structured corpus/database interpretation.	Use for most corpus assertions before original-source verification.
transformation_confidence	low	Evidence is weak, indirect, incomplete, or needs manual confirmation.	Use for title-only/corpus-only assertions and ambiguous matches.
transformation_confidence	blocked	Evidence cannot currently be checked because access or identifiers are blocked.	Use with extraction_problem and manual to-do.
prereg_timing	pre_data_collection	Relationship/artifact predates data collection.	Use only when timing evidence supports this.
prereg_timing	pre_analysis	Relationship/artifact predates analysis/results but data may already exist.	Use for PAPs, protocols, or registered reports when analysis timing is verified.
prereg_timing	post_data_pre_results	Relationship/artifact was created after data collection but before results were known or reported.	Use when this distinction is documented.
prereg_timing	post_results	Relationship/artifact was created after results were known or public.	Do not use as preregistered confirmatory evidence.
prereg_timing	not_applicable	Timing is not meaningful for this relationship.	Use for corpus membership, duplicate, and many package-support relationships.
prereg_timing	unknown	Timing has not been audited or cannot be determined.	Use honestly rather than guessing.
replication_kind	preregistration	General preregistration relationship.	Use when a more specific PAP/registered-report/trial subtype is unavailable.
replication_kind	pre_analysis_plan	Pre-analysis plan artifact.	Use for PAP documents and PAP sections.
replication_kind	meta_analysis_pre_analysis_plan	Meta-analysis pre-analysis plan artifact.	Use for MPAPs such as Metaketa pooled analysis plans.
replication_kind	registered_report_stage1_protocol	Stage 1 registered-report protocol.	Use for accepted protocols before results.
replication_kind	registered_report_stage2_results	Stage 2 registered-report results paper.	Use when mapping protocol to final registered-report paper.
replication_kind	trial_registry_record	Trial or study registry record.	Use for NCT/AEA/RIDIE/EGAP/OSF-style registry records.
replication_kind	data_or_code_package	Data/code/package support relationship.	Use for repository/package mappings.
replication_kind	paper_supplement	Supplementary paper file relationship.	Use for appendices, supplements, and supplemental tables.
replication_kind	direct_replication	Replication intended to repeat the same claim/design closely.	Use for same-claim original/replication pairs.
replication_kind	conceptual_replication	Replication of a construct using different operationalization/design.	Use when source says conceptual replication or design differs materially.
replication_kind	computational_reproduction	Same-data/code reproduction.	Use for computational reproducibility checks.
replication_kind	robustness_reanalysis	Alternative analysis/specification check.	Use for robustness projects.
replication_kind	extension_study	Replication plus extension or new conditions.	Use when extension is material.
replication_kind	pilot_full_scale_pair	Pilot/smaller study paired with later full-scale/larger study.	Use for pilot-to-main-study pairs.
replication_kind	pooled_round_component	Component study included in pooled round/meta-analysis.	Use for Metaketa and similar pooled designs.
replication_kind	corpus_child_paper	Paper included as a child of a corpus.	Use for membership without result-level numbers.
replication_kind	database_child_result	Result row included as child of a database/corpus.	Use for row-level source assertions.
replication_kind	citation_or_link_only	Relationship inferred only from citation/link metadata.	Use when no value/selector evidence has been copied.
replication_kind	unknown	Subtype is not yet known.	Use only while staged; add an extraction_problem if it matters for promotion.
extraction_confidence	high	Evidence is direct, specific, and low ambiguity.	Use when source text/metadata clearly supports the coded value or relationship.
extraction_confidence	medium	Evidence is plausible but has unresolved details or relies on structured corpus/database interpretation.	Use for most corpus assertions before original-source verification.
extraction_confidence	low	Evidence is weak, indirect, incomplete, or needs manual confirmation.	Use for title-only/corpus-only assertions and ambiguous matches.
extraction_confidence	blocked	Evidence cannot currently be checked because access or identifiers are blocked.	Use with extraction_problem and manual to-do.
support_confidence	high	Controlled value `high` for `support_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
support_confidence	medium	Controlled value `medium` for `support_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
support_confidence	low	Controlled value `low` for `support_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
support_confidence	blocked	Controlled value `blocked` for `support_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
current_scope_role	current_figure	Controlled value `current_figure` for `current_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
current_scope_role	current_diagnostic	Controlled value `current_diagnostic` for `current_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
current_scope_role	catalog_only_future_plot_seed	Controlled value `catalog_only_future_plot_seed` for `current_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
current_scope_role	future_plot_candidate	Controlled value `future_plot_candidate` for `current_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
current_scope_role	sensitivity_view	Controlled value `sensitivity_view` for `current_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
current_scope_role	deprecated	Controlled value `deprecated` for `current_scope_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
relationship_confidence	high	Evidence is direct, specific, and low ambiguity.	Use when source text/metadata clearly supports the coded value or relationship.
relationship_confidence	medium	Evidence is plausible but has unresolved details or relies on structured corpus/database interpretation.	Use for most corpus assertions before original-source verification.
relationship_confidence	low	Evidence is weak, indirect, incomplete, or needs manual confirmation.	Use for title-only/corpus-only assertions and ambiguous matches.
relationship_confidence	blocked	Evidence cannot currently be checked because access or identifiers are blocked.	Use with extraction_problem and manual to-do.
status	open	Controlled value `open` for `status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
status	in_progress	Controlled value `in_progress` for `status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
status	blocked	Controlled value `blocked` for `status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
status	closed	Controlled value `closed` for `status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
status	not_needed	Controlled value `not_needed` for `status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
